iter	Passed	Remaining
402	12237	18128
403	12267	18098
404	12299	18069
405	12327	18035
406	12358	18006
407	12391	17980
408	12423	17952
409	12452	17919
410	12480	17885
411	12509	17853
412	12539	17822
413	12570	17792
414	12602	17764
415	12634	17736
416	12676	17723
417	12709	17695
418	12738	17663
419	12770	17635
420	12799	17603
421	12826	17568
422	12857	17538
423	12890	17511
424	12920	17480
425	12950	17449
426	12981	17420
427	13009	17386
428	13039	17355
429	13071	17326
430	13100	17294
431	13130	17263
432	13159	17232
433	13193	17206
434	13225	17178
435	13253	17144
436	13284	17115
437	13314	17084
438	13347	17056
439	13376	17024
440	13407	16994
441	13435	16961
442	13468	16934
443	13497	16902
444	13527	16870
445	13556	16839
446	13585	16807
447	13615	16776
448	13647	16747
449	13683	16724
450	13714	16694
451	13745	16665
452	13774	16633
453	13806	16604
454	13834	16570
455	13864	16540
456	13900	16516
457	13931	16486
458	13961	16455
459	13993	16426
460	14020	16392
461	14049	16360
462	14078	16328
463	14107	16296
464	14142	16270
465	14168	16235
466	14200	16207
467	14229	16175
468	14261	16146
469	14290	16115
470	14319	16082
471	14350	16053
472	14383	16025
473	14412	15993
474	14445	15965
475	14473	15932
476	14503	15902
477	14535	15872
478	14563	15840
479	14591	15807
480	14623	15779
481	14653	15748
482	14686	15719
483	14713	15686
484	14743	15655
485	14777	15628
486	14810	15601
487	14843	15573
488	14878	15547
489	14907	15516
490	14937	15485
491	14971	15457
492	15004	15430
493	15035	15400
494	15068	15372
495	15100	15343
496	15131	15313
497	15162	15284
498	15191	15252
499	15223	15223
500	15254	15193
501	15286	15164
502	15319	15136
503	15349	15105
504	15379	15075
505	15411	15045
506	15440	15014
507	15469	14982
508	15499	14951
509	15531	14922
510	15560	14890
511	15590	14859
512	15621	14829
513	15652	14799
514	15681	14768
515	15712	14738
516	15745	14710
517	15776	14679
518	15806	14649
519	15838	14620
520	15872	14593
521	15907	14566
522	15934	14533
523	15962	14500
524	15994	14471
525	16024	14440
526	16056	14410
527	16089	14383
528	16122	14354
529	16154	14325
530	16184	14294
531	16215	14264
532	16242	14231
533	16273	14200
534	16301	14168
535	16332	14138
536	16364	14109
537	16391	14076
538	16422	14046
539	16451	14014
540	16481	13983
541	16509	13950
542	16541	13921
543	16574	13893
544	16602	13861
545	16632	13830
546	16663	13799
547	16693	13769
548	16725	13739
549	16755	13708
550	16784	13677
551	16814	13646
552	16850	13620
553	16883	13591
554	16914	13562
555	16945	13532
556	16977	13502
557	17005	13470
558	17032	13437
559	17065	13408
560	17096	13378
561	17130	13350
562	17160	13320
563	17190	13289
564	17222	13260
565	17250	13227
566	17280	13196
567	17312	13167
568	17342	13136
569	17373	13106
570	17401	13074
571	17432	13044
572	17461	13012
573	17487	12978
574	17515	12946
575	17545	12915
576	17573	12883
577	17601	12851
578	17631	12820
579	17662	12790
580	17696	12761
581	17724	12730
582	17752	12697
583	17787	12670
584	17820	12642
585	17858	12616
586	17888	12585
587	17920	12556
588	17950	12525
589	17981	12495
590	18014	12466
591	18046	12437
592	18078	12407
593	18108	12377
594	18138	12346
595	18169	12316
596	18202	12287
597	18230	12254
598	18257	12222
599	18287	12191
600	18315	12159
601	18345	12128
602	18373	12096
603	18405	12066
604	18436	12037
605	18463	12004
606	18492	11972
607	18524	11943
608	18554	11912
609	18584	11881
610	18613	11850
611	18643	11819
612	18672	11788
613	18702	11757
614	18730	11725
615	18761	11695
616	18793	11665
617	18823	11635
618	18856	11606
619	18884	11574
620	18916	11544
621	18944	11512
622	18971	11480
623	19000	11449
624	19030	11418
625	19062	11388
626	19093	11358
627	19126	11329
628	19162	11302
629	19197	11274
630	19230	11245
631	19261	11215
632	19291	11184
633	19322	11154
634	19353	11124
635	19381	11092
636	19412	11062
637	19438	11029
638	19465	10996
639	19496	10966
640	19523	10934
641	19553	10903
642	19580	10871
643	19613	10842
644	19642	10810
645	19672	10780
646	19700	10748
647	19729	10717
648	19758	10686
649	19787	10654
650	19815	10623
651	19850	10594
652	19879	10563
653	19907	10531
654	19934	10499
655	19962	10468
656	19991	10436
657	20018	10404
658	20047	10373
659	20073	10340
660	20103	10310
661	20130	10278
662	20159	10247
663	20190	10216
664	20227	10189
665	20258	10159
666	20288	10129
667	20320	10099
668	20350	10068
669	20381	10038
670	20413	10008
671	20443	9978
672	20472	9947
673	20503	9917
674	20534	9886
675	20562	9855
676	20592	9824
677	20622	9794
678	20652	9763
679	20682	9732
680	20712	9702
681	20739	9670
682	20768	9639
683	20798	9608
684	20826	9577
685	20858	9547
686	20889	9517
687	20917	9485
688	20945	9454
689	20977	9424
690	21008	9394
691	21037	9363
692	21066	9332
693	21099	9303
694	21126	9271
695	21156	9240
696	21189	9211
697	21220	9181
698	21250	9150
699	21278	9119
700	21309	9089
701	21344	9060
702	21378	9031
703	21409	9001
704	21441	8971
705	21469	8940
706	21498	8909
707	21527	8878
708	21559	8848
709	21588	8817
710	21616	8786
711	21647	8756
712	21676	8725
713	21701	8692
714	21729	8661
715	21760	8631
716	21788	8599
717	21818	8569
718	21847	8538
719	21879	8508
720	21908	8477
721	21934	8445
722	21962	8414
723	21992	8383
724	22020	8352
725	22048	8321
726	22075	8289
727	22104	8258
728	22138	8229
729	22167	8198
730	22195	8167
731	22225	8137
732	22256	8107
733	22283	8075
734	22314	8045
735	22345	8015
736	22377	7985
737	22405	7954
738	22438	7924
739	22467	7893
740	22495	7862
741	22521	7830
742	22548	7799
743	22578	7768
744	22607	7737
745	22636	7707
746	22668	7677
747	22699	7647
748	22728	7616
749	22760	7586
750	22790	7556
751	22825	7527
752	22852	7496
753	22882	7465
754	22913	7435
755	22939	7403
756	22972	7374
757	23002	7343
758	23033	7313
759	23063	7283
760	23096	7253
761	23123	7222
762	23152	7191
763	23182	7161
764	23219	7132
765	23246	7101
766	23279	7071
767	23309	7041
768	23338	7010
769	23365	6979
770	23385	6945
771	23412	6914
772	23440	6883
773	23469	6852
774	23501	6822
775	23536	6793
776	23568	6764
777	23599	6733
778	23626	6702
779	23658	6672
780	23686	6641
781	23713	6610
782	23743	6580
783	23772	6549
784	23799	6518
785	23831	6488
786	23862	6458
787	23890	6427
788	23917	6396
789	23943	6364
790	23972	6334
791	23998	6302
792	24030	6272
793	24060	6242
794	24087	6211
795	24116	6180
796	24146	6150
797	24177	6120
798	24207	6089
799	24233	6058
800	24260	6027
801	24288	5996
802	24316	5965
803	24344	5934
804	24370	5903
805	24399	5872
806	24427	5841
807	24456	5811
808	24481	5779
809	24510	5749
810	24537	5718
811	24564	5687
812	24595	5657
813	24624	5626
814	24656	5596
815	24686	5566
816	24714	5535
817	24742	5505
818	24773	5475
819	24805	5445
820	24834	5414
821	24862	5383
822	24889	5352
823	24919	5322
824	24950	5292
825	24977	5261
826	25007	5231
827	25039	5201
828	25069	5171
829	25101	5141
830	25132	5111
831	25161	5080
832	25192	5050
833	25220	5019
834	25249	4989
835	25274	4958
836	25306	4928
837	25337	4898
838	25365	4867
839	25392	4836
840	25419	4805
841	25448	4775
842	25479	4745
843	25511	4715
844	25540	4684
845	25567	4654
846	25596	4623
847	25623	4592
848	25655	4563
849	25685	4532
850	25718	4503
851	25752	4473
852	25780	4442
853	25814	4413
854	25843	4382
855	25873	4352
856	25903	4322
857	25932	4291
858	25960	4261
859	25990	4230
860	26019	4200
861	26045	4169
862	26078	4139
863	26106	4109
864	26136	4079
865	26168	4049
866	26196	4018
867	26226	3988
868	26254	3957
869	26282	3927
870	26311	3896
871	26340	3866
872	26368	3836
873	26401	3806
874	26429	3775
875	26459	3745
876	26488	3715
877	26518	3684
878	26547	3654
879	26578	3624
880	26612	3594
881	26640	3564
882	26672	3534
883	26705	3504
884	26738	3474
885	26772	3444
886	26806	3415
887	26837	3384
888	26868	3354
889	26901	3324
890	26932	3294
891	26961	3264
892	26993	3234
893	27016	3203
894	27044	3172
895	27076	3142
896	27108	3112
897	27138	3082
898	27166	3052
899	27193	3021
900	27221	2991
901	27251	2960
902	27279	2930
903	27310	2900
904	27339	2869
905	27369	2839
906	27399	2809
907	27428	2779
908	27456	2748
909	27486	2718
910	27512	2687
911	27542	2657
912	27570	2627
913	27599	2596
914	27631	2566
915	27660	2536
916	27690	2506
917	27720	2476
918	27747	2445
919	27779	2415
920	27813	2385
921	27848	2355
922	27880	2325
923	27910	2295
924	27941	2265
925	27968	2235
926	27999	2204
927	28031	2174
928	28062	2144
929	28090	2114
930	28121	2084
931	28155	2054
932	28187	2024
933	28214	1993
934	28244	1963
935	28272	1933
936	28302	1902
937	28328	1872
938	28355	1842
939	28383	1811
940	28410	1781
941	28439	1751
942	28467	1720
943	28495	1690
944	28523	1660
945	28552	1629
946	28581	1599
947	28611	1569
948	28639	1539
949	28669	1508
950	28699	1478
951	28726	1448
952	28756	1418
953	28782	1387
954	28811	1357
955	28840	1327
956	28870	1297
957	28900	1267
958	28934	1237
959	28966	1206
960	28996	1176
961	29023	1146
962	29054	1116
963	29088	1086
964	29118	1056
965	29150	1025
966	29176	995
967	29204	965
968	29232	935
969	29259	904
970	29291	874
971	29319	844
972	29348	814
973	29377	784
974	29410	754
975	29441	723
976	29469	693
977	29504	663
978	29533	633
979	29563	603
980	29591	573
981	29624	543
982	29654	512
983	29682	482
984	29717	452
985	29745	422
986	29782	392
987	29810	362
988	29842	331
989	29872	301
990	29900	271
991	29928	241
992	29959	211
993	29988	181
994	30026	150
995	30051	120
996	30084	90
997	30112	60
998	30142	30
999	30174	0
