iter	Logloss
0	0.5672174608
1	0.4911926733
2	0.4328905595
3	0.3909208067
4	0.3624697926
5	0.3444903423
6	0.3263731286
7	0.3131271032
8	0.3024817557
9	0.2942646164
10	0.2861321799
11	0.2786750333
12	0.2714992835
13	0.2638377641
14	0.2487867465
15	0.2442275629
16	0.2391507402
17	0.2318156893
18	0.2286885053
19	0.2232334192
20	0.2202006119
21	0.2167155627
22	0.2139061213
23	0.2093173182
24	0.2059430857
25	0.2034674568
26	0.198096117
27	0.1958247136
28	0.1933205445
29	0.1918904492
30	0.1877873759
31	0.1789252756
32	0.1760039747
33	0.1742095272
34	0.1728207089
35	0.1675749216
36	0.1645152811
37	0.1633619233
38	0.1588703488
39	0.1563895492
40	0.1547002335
41	0.1526676854
42	0.1500401184
43	0.1491212922
44	0.1476877677
45	0.1469184394
46	0.1447568771
47	0.1437608719
48	0.1427357407
49	0.1405196674
50	0.1397143962
51	0.1374869621
52	0.1366946859
53	0.1362465244
54	0.1354908322
55	0.1334227425
56	0.1313864515
57	0.1289230386
58	0.1281486355
59	0.127010402
60	0.1265535217
61	0.1259966938
62	0.1243042791
63	0.1237394074
64	0.1233614546
65	0.1216263546
66	0.1206122721
67	0.1189653157
68	0.1183921316
69	0.1172567249
70	0.1168529099
71	0.1159567513
72	0.1146959029
73	0.1142552685
74	0.1123853469
75	0.1109883781
76	0.1103452196
77	0.1099407483
78	0.10891507
79	0.1080293719
80	0.1075566079
81	0.107125722
82	0.1066719285
83	0.1062208179
84	0.1057724219
85	0.1054490797
86	0.1047923521
87	0.1046544694
88	0.1032516508
89	0.1021953481
90	0.1015261373
91	0.1009816755
92	0.1005031727
93	0.1000941759
94	0.09964600456
95	0.09877896034
96	0.09836226071
97	0.09754106638
98	0.097199466
99	0.09693521618
100	0.09638150037
101	0.09560612189
102	0.0954048938
103	0.0950308347
104	0.09446570426
105	0.09369044002
106	0.09333646726
107	0.09307210739
108	0.09273674739
109	0.09249183588
110	0.09194784592
111	0.09169939828
112	0.09129007131
113	0.09099513634
114	0.09081343163
115	0.09040518245
116	0.09015484433
117	0.08985683288
118	0.0894299831
119	0.08886263676
120	0.08816348284
121	0.08741314746
122	0.08679395354
123	0.08655122149
124	0.08625876834
125	0.08593472028
126	0.08573420304
127	0.08558943007
128	0.08538990887
129	0.08507741063
130	0.08462199113
131	0.08415611455
132	0.0839898656
133	0.08326248859
134	0.0826278246
135	0.08218595992
136	0.08164422466
137	0.08106222497
138	0.08063209444
139	0.08021192115
140	0.07989370114
141	0.07957141247
142	0.07932506071
143	0.07896992803
144	0.07841779429
145	0.07820964308
146	0.07805205772
147	0.07786834579
148	0.07750662282
149	0.07737345196
150	0.07719082264
151	0.07668505554
152	0.07655905569
153	0.07594154031
154	0.07571169186
155	0.07551611942
156	0.07533323554
157	0.07484611871
158	0.07463451596
